observ,barrio,calle,altura,institu1,institu3,distanci,edpub,estserv,banco,totrob,mes,totrob2
17,Belgrano,Manuel Ugarte,a2600,0,0,2,0,0,0,.75,10,.75
17,Belgrano,Manuel Ugarte,a2600,0,0,2,0,0,0,.25,11,.25
17,Belgrano,Manuel Ugarte,a2600,0,0,2,0,0,0,.5,12,.5
17,Belgrano,Manuel Ugarte,a2600,0,0,2,0,0,0,0,72,0
17,Belgrano,Manuel Ugarte,a2600,0,0,2,0,0,0,0,73,0
18,Belgrano,Manuel Ugarte,a2700,0,0,2,0,0,0,0,4,0
18,Belgrano,Manuel Ugarte,a2700,0,0,2,0,0,0,0,5,0
18,Belgrano,Manuel Ugarte,a2700,0,0,2,0,0,0,0,6,0
18,Belgrano,Manuel Ugarte,a2700,0,0,2,0,0,0,0,7,0
18,Belgrano,Manuel Ugarte,a2700,0,0,2,0,0,0,0,8,0
18,Belgrano,Manuel Ugarte,a2700,0,0,2,0,0,0,0,9,0
18,Belgrano,Manuel Ugarte,a2700,0,0,2,0,0,0,0,10,0
18,Belgrano,Manuel Ugarte,a2700,0,0,2,0,0,0,0,11,0
18,Belgrano,Manuel Ugarte,a2700,0,0,2,0,0,0,.25,12,.25
18,Belgrano,Manuel Ugarte,a2700,0,0,2,0,0,0,0,72,0
18,Belgrano,Manuel Ugarte,a2700,0,0,2,0,0,0,0,73,0
19,Belgrano,Manuel Ugarte,a2800,0,0,2,0,0,0,0,4,0
19,Belgrano,Manuel Ugarte,a2800,0,0,2,0,0,0,0,5,0
19,Belgrano,Manuel Ugarte,a2800,0,0,2,0,0,0,0,6,0
19,Belgrano,Manuel Ugarte,a2800,0,0,2,0,0,0,0,7,0
19,Belgrano,Manuel Ugarte,a2800,0,0,2,0,0,0,0,8,0
19,Belgrano,Manuel Ugarte,a2800,0,0,2,0,0,0,0,9,0
19,Belgrano,Manuel Ugarte,a2800,0,0,2,0,0,0,0,10,0
19,Belgrano,Manuel Ugarte,a2800,0,0,2,0,0,0,0,11,0
19,Belgrano,Manuel Ugarte,a2800,0,0,2,0,0,0,0,12,0
19,Belgrano,Manuel Ugarte,a2800,0,0,2,0,0,0,0,72,0
19,Belgrano,Manuel Ugarte,a2800,0,0,2,0,0,0,0,73,0
20,Belgrano,Dr. P.I.Rivera,a2400,0,0,2,0,0,0,.25,4,.25
20,Belgrano,Dr. P.I.Rivera,a2400,0,0,2,0,0,0,0,5,0
20,Belgrano,Dr. P.I.Rivera,a2400,0,0,2,0,0,0,.5,6,.5
20,Belgrano,Dr. P.I.Rivera,a2400,0,0,2,0,0,0,.25,7,.25
