"","observ","barrio","calle","altura","institu1","institu3","distanci","edpub","estserv","banco","totrob","mes","totrob2","category","month","month.label"
"187",19,"Belgrano","Manuel Ugarte","a2800",0,0,2,0,0,0,0,10,0,3,11,"October"
"188",19,"Belgrano","Manuel Ugarte","a2800",0,0,2,0,0,0,0,11,0,3,12,"November"
"189",19,"Belgrano","Manuel Ugarte","a2800",0,0,2,0,0,0,0,12,0,3,13,"December"
"190",19,"Belgrano","Manuel Ugarte","a2800",0,0,2,0,0,0,0,73,0,3,8,"July (18-31)"
"191",20,"Belgrano","Dr. P.I.Rivera","a2400",0,0,2,0,0,0,0.25,4,0.25,3,4,"April"
"192",20,"Belgrano","Dr. P.I.Rivera","a2400",0,0,2,0,0,0,0,5,0,3,5,"May"
"193",20,"Belgrano","Dr. P.I.Rivera","a2400",0,0,2,0,0,0,0.5,6,0.5,3,6,"June"
"194",20,"Belgrano","Dr. P.I.Rivera","a2400",0,0,2,0,0,0,0.25,7,0.25,3,7,"July (1-17)"
"195",20,"Belgrano","Dr. P.I.Rivera","a2400",0,0,2,0,0,0,0,8,0,3,9,"August"
"196",20,"Belgrano","Dr. P.I.Rivera","a2400",0,0,2,0,0,0,0,9,0,3,10,"September"
"197",20,"Belgrano","Dr. P.I.Rivera","a2400",0,0,2,0,0,0,0.5,10,0.5,3,11,"October"
"198",20,"Belgrano","Dr. P.I.Rivera","a2400",0,0,2,0,0,0,0.5,11,0.5,3,12,"November"
"199",20,"Belgrano","Dr. P.I.Rivera","a2400",0,0,2,0,0,0,0,12,0,3,13,"December"
"200",20,"Belgrano","Dr. P.I.Rivera","a2400",0,0,2,0,0,0,0,73,0,3,8,"July (18-31)"
"201",21,"Belgrano","Dr. P.I.Rivera","a2500",0,0,2,0,0,0,1.25,4,1.25,3,4,"April"
"202",21,"Belgrano","Dr. P.I.Rivera","a2500",0,0,2,0,0,0,0,5,0,3,5,"May"
"203",21,"Belgrano","Dr. P.I.Rivera","a2500",0,0,2,0,0,0,0.5,6,0.5,3,6,"June"
"204",21,"Belgrano","Dr. P.I.Rivera","a2500",0,0,2,0,0,0,0.25,7,0.25,3,7,"July (1-17)"
"205",21,"Belgrano","Dr. P.I.Rivera","a2500",0,0,2,0,0,0,1.25,8,1.25,3,9,"August"
"206",21,"Belgrano","Dr. P.I.Rivera","a2500",0,0,2,0,0,0,0,9,0,3,10,"September"
"207",21,"Belgrano","Dr. P.I.Rivera","a2500",0,0,2,0,0,0,0.5,10,0.5,3,11,"October"
"208",21,"Belgrano","Dr. P.I.Rivera","a2500",0,0,2,0,0,0,0.75,11,0.75,3,12,"November"
"209",21,"Belgrano","Dr. P.I.Rivera","a2500",0,0,2,0,0,0,0,12,0,3,13,"December"
"210",21,"Belgrano","Dr. P.I.Rivera","a2500",0,0,2,0,0,0,0.25,73,0.25,3,8,"July (18-31)"
"211",22,"Belgrano","Dr. P.I.Rivera","a2600",0,0,3,0,0,0,0.25,4,0.25,4,4,"April"
"212",22,"Belgrano","Dr. P.I.Rivera","a2600",0,0,3,0,0,0,0,5,0,4,5,"May"
"213",22,"Belgrano","Dr. P.I.Rivera","a2600",0,0,3,0,0,0,0,6,0,4,6,"June"
"214",22,"Belgrano","Dr. P.I.Rivera","a2600",0,0,3,0,0,0,0.25,7,0.25,4,7,"July (1-17)"
"215",22,"Belgrano","Dr. P.I.Rivera","a2600",0,0,3,0,0,0,0.5,8,0.5,4,9,"August"
"216",22,"Belgrano","Dr. P.I.Rivera","a2600",0,0,3,0,0,0,0.25,9,0.25,4,10,"September"
"217",22,"Belgrano","Dr. P.I.Rivera","a2600",0,0,3,0,0,0,0.25,10,0.25,4,11,"October"
"218",22,"Belgrano","Dr. P.I.Rivera","a2600",0,0,3,0,0,0,0.25,11,0.25,4,12,"November"
"219",22,"Belgrano","Dr. P.I.Rivera","a2600",0,0,3,0,0,0,0,12,0,4,13,"December"
"220",22,"Belgrano","Dr. P.I.Rivera","a2600",0,0,3,0,0,0,0.25,73,0.25,4,8,"July (18-31)"
"221",23,"Belgrano","Dr. P.I.Rivera","a2700",0,0,3,0,0,0,0.25,4,0.25,4,4,"April"
"222",23,"Belgrano","Dr. P.I.Rivera","a2700",0,0,3,0,0,0,0,5,0,4,5,"May"
"223",23,"Belgrano","Dr. P.I.Rivera","a2700",0,0,3,0,0,0,0,6,0,4,6,"June"
"224",23,"Belgrano","Dr. P.I.Rivera","a2700",0,0,3,0,0,0,0.25,7,0.25,4,7,"July (1-17)"
"225",23,"Belgrano","Dr. P.I.Rivera","a2700",0,0,3,0,0,0,0.25,8,0.25,4,9,"August"
"226",23,"Belgrano","Dr. P.I.Rivera","a2700",0,0,3,0,0,0,0.5,9,0.5,4,10,"September"
"227",23,"Belgrano","Dr. P.I.Rivera","a2700",0,0,3,0,0,0,0,10,0,4,11,"October"
"228",23,"Belgrano","Dr. P.I.Rivera","a2700",0,0,3,0,0,0,0,11,0,4,12,"November"
"229",23,"Belgrano","Dr. P.I.Rivera","a2700",0,0,3,0,0,0,0,12,0,4,13,"December"
"230",23,"Belgrano","Dr. P.I.Rivera","a2700",0,0,3,0,0,0,0.25,73,0.25,4,8,"July (18-31)"
"231",24,"Belgrano","Dr. P.I.Rivera","a2800",0,0,3,0,0,0,0,4,0,4,4,"April"
"232",24,"Belgrano","Dr. P.I.Rivera","a2800",0,0,3,0,0,0,0,5,0,4,5,"May"
"233",24,"Belgrano","Dr. P.I.Rivera","a2800",0,0,3,0,0,0,0,6,0,4,6,"June"
"234",24,"Belgrano","Dr. P.I.Rivera","a2800",0,0,3,0,0,0,0,7,0,4,7,"July (1-17)"
"235",24,"Belgrano","Dr. P.I.Rivera","a2800",0,0,3,0,0,0,0,8,0,4,9,"August"
"236",24,"Belgrano","Dr. P.I.Rivera","a2800",0,0,3,0,0,0,0.25,9,0.25,4,10,"September"
"237",24,"Belgrano","Dr. P.I.Rivera","a2800",0,0,3,0,0,0,0,10,0,4,11,"October"
"238",24,"Belgrano","Dr. P.I.Rivera","a2800",0,0,3,0,0,0,0,11,0,4,12,"November"
"239",24,"Belgrano","Dr. P.I.Rivera","a2800",0,0,3,0,0,0,0,12,0,4,13,"December"
"240",24,"Belgrano","Dr. P.I.Rivera","a2800",0,0,3,0,0,0,0.25,73,0.25,4,8,"July (18-31)"
"241",25,"Belgrano","F.D.Roosevelt","a1900",0,0,4,0,0,0,0,4,0,4,4,"April"
"242",25,"Belgrano","F.D.Roosevelt","a1900",0,0,4,0,0,0,0.25,5,0.25,4,5,"May"
"243",25,"Belgrano","F.D.Roosevelt","a1900",0,0,4,0,0,0,0,6,0,4,6,"June"
"244",25,"Belgrano","F.D.Roosevelt","a1900",0,0,4,0,0,0,0,7,0,4,7,"July (1-17)"
"245",25,"Belgrano","F.D.Roosevelt","a1900",0,0,4,0,0,0,1,8,1,4,9,"August"
"246",25,"Belgrano","F.D.Roosevelt","a1900",0,0,4,0,0,0,0,9,0,4,10,"September"
"247",25,"Belgrano","F.D.Roosevelt","a1900",0,0,4,0,0,0,0,10,0,4,11,"October"
"248",25,"Belgrano","F.D.Roosevelt","a1900",0,0,4,0,0,0,0,11,0,4,12,"November"
"249",25,"Belgrano","F.D.Roosevelt","a1900",0,0,4,0,0,0,0,12,0,4,13,"December"
"250",25,"Belgrano","F.D.Roosevelt","a1900",0,0,4,0,0,0,0,73,0,4,8,"July (18-31)"
"251",26,"Belgrano","F.D.Roosevelt","a2000",0,0,3,0,0,0,0,4,0,4,4,"April"
"252",26,"Belgrano","F.D.Roosevelt","a2000",0,0,3,0,0,0,0.25,5,0.25,4,5,"May"
"253",26,"Belgrano","F.D.Roosevelt","a2000",0,0,3,0,0,0,0.25,6,0.25,4,6,"June"
"254",26,"Belgrano","F.D.Roosevelt","a2000",0,0,3,0,0,0,0,7,0,4,7,"July (1-17)"
"255",26,"Belgrano","F.D.Roosevelt","a2000",0,0,3,0,0,0,0.5,8,0.5,4,9,"August"
"256",26,"Belgrano","F.D.Roosevelt","a2000",0,0,3,0,0,0,0,9,0,4,10,"September"
"257",26,"Belgrano","F.D.Roosevelt","a2000",0,0,3,0,0,0,0,10,0,4,11,"October"
"258",26,"Belgrano","F.D.Roosevelt","a2000",0,0,3,0,0,0,0.25,11,0.25,4,12,"November"
"259",26,"Belgrano","F.D.Roosevelt","a2000",0,0,3,0,0,0,0,12,0,4,13,"December"
"260",26,"Belgrano","F.D.Roosevelt","a2000",0,0,3,0,0,0,0,73,0,4,8,"July (18-31)"
